meta_score,title,platform,date,user_score,esrb_rating,developers,genres
,Fire Emblem Warriors: Shadow Dragon Pack,Switch,2/14/2018,,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
,Fire Emblem Warriors: Shadow Dragon Pack,3DS,2/14/2018,,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
81,Dragon Quest Builders,Switch,2/9/2018,8.1,E10+,Square Enix,"Action Adventure, Sandbox"
,Pokken Tournament DX: Battle Pack,Switch,1/31/2018,6.6,,Bandai Namco Games,"Action, Fighting, 3D"
,Xenoblade Chronicles 2: New Quests Pack 1,Switch,1/30/2018,7.2,,Monolith Soft,"Role-Playing, Action RPG"
57,Kirby Battle Royale,3DS,1/19/2018,7.1,E10+,"Nintendo,  HAL Labs","Miscellaneous, Party / Minigame"
80,Style Savvy: Styling Star,3DS,12/25/2017,7.6,E,"Nintendo,  syn Sophia","Simulation, Virtual, Career"
,Arcade Archives: Vs. Super Mario Bros.,Switch,12/22/2017,7.4,E,Nintendo,"Action, Platformer, 2D"
,Fire Emblem Warriors: Fates Pack,Switch,12/21/2017,6.6,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
,Fire Emblem Warriors: Fates Pack,3DS,12/21/2017,,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
81,The Legend of Zelda: Breath of the Wild - The Champions Ballad,Switch,12/7/2017,8.5,E10+,Nintendo,"Action Adventure, Open-World"
,The Legend of Zelda: Breath of the Wild - The Champions Ballad,WIIU,12/7/2017,8.8,E10+,Nintendo,"Action Adventure, Open-World"
83,Xenoblade Chronicles 2,Switch,12/1/2017,8.7,T,Monolith Soft,"Role-Playing, Action RPG"
72,Animal Crossing: Pocket Camp,iOS,11/21/2017,7,E,Nintendo,"Simulation, Virtual, Virtual Life"
84,Pokemon Ultra Sun,3DS,11/17/2017,7.8,E,Game Freak,"Role-Playing, Trainer"
84,Pokemon Ultra Moon,3DS,11/17/2017,7.7,E,Game Freak,"Role-Playing, Trainer"
,Pokemon Ultra Sun & Pokemon Ultra Moon Veteran Trainers Dual Pack,3DS,11/17/2017,,E,Game Freak,"Role-Playing, Trainer"
77,Ittle Dew 2+,Switch,11/14/2017,7.7,E10+,Ludosity Interactive,"Role-Playing, Action Adventure, General, Action RPG"
59,Mario Party: The Top 100,3DS,11/10/2017,6.5,E,"Nintendo,  Nd Cube","Miscellaneous, Party / Minigame"
84,"Snipperclips Plus: Cut It Out, Together!",Switch,11/10/2017,8.1,E,SFB Games,"Puzzle, General"
97,Super Mario Odyssey,Switch,10/27/2017,8.9,E10+,Nintendo,"Action, Platformer, 3D"
69,Fire Emblem Warriors,3DS,10/20/2017,8,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
74,Fire Emblem Warriors,Switch,10/20/2017,7.9,T,Omega Force,"Action, ""Beat-Em-Up"", 3D"
72,Laytons Mystery Journey: Katrielle and The Millionaires Conspiracy,3DS,10/6/2017,6.7,E10+,Level 5,"Puzzle, General"
81,Mario & Luigi: Superstar Saga + Bowsers Minions,3DS,10/6/2017,8.2,E,Alphadream Corporation,"Role-Playing, Japanese-Style"
73,Yo-kai Watch 2: Psychic Specters,3DS,9/29/2017,8.2,E10+,Level 5,"Role-Playing, Trainer"
,Hive Jump,WIIU,9/28/2017,,E10+,Graphite Lab,"Action, Platformer, 2D"
,Monster Hunter Stories: The Legend of Zelda,3DS,9/28/2017,,E10+,Capcom,"Role-Playing, Action RPG, Japanese-Style"
,Arcade Archives: Mario Bros.,Switch,9/27/2017,7,E,Nintendo,"Action, Platformer, 2D"
